col_name,col_type,col_width,segment
segment_level,c,2,01
numeric_state_code,n,2,01
originating_agency_identifier_ori,c,9,01
incident_number,c,12,01
incident_date,c,8,01
report_date_indicator,c,1,01
incident_date_hour,c,2,01
total_offense_segments,n,2,01
total_victim_segments,n,3,01
total_offender_segments,n,2,01
total_arrestee_segments,n,2,01
city_submission,c,4,01
cleared_exceptionally,c,1,01
exceptional_clearance_date,c,8,01
offense_code_1,c,3,01
offense_code_2,c,3,01
offense_code_3,c,3,01
offense_code_4,c,3,01
offense_code_5,c,3,01
offense_code_6,c,3,01
offense_code_7,c,3,01
offense_code_8,c,3,01
offense_code_9,c,3,01
offense_code_10,c,3,01
cargo_theft_indicator,c,1,01
segment_level,c,2,02
numeric_state_code,n,2,02
originating_agency_identifier_ori,c,9,02
incident_number,c,12,02
incident_date,c,8,02
ucr_offense_code,c,3,02
offense_attempted_completed,c,1,02
suspected_of_using_1,c,1,02
suspected_of_using_2,c,1,02
suspected_of_using_3,c,1,02
location_type,c,2,02
number_of_premises_entered,c,2,02
method_of_entry,c,1,02
criminal_activity_1_gang_information_1,c,1,02
criminal_activity_2_gang_information_2,c,1,02
criminal_activity_3,c,1,02
weapon_force_1,c,2,02
automatic_indicator_1,c,1,02
weapon_force_2,c,3,02
weapon_force_3,c,3,02
bias_motivation,c,2,02
segment_level,c,2,03
numeric_state_code,c,2,03
originating_agency_identifier_ori,c,9,03
incident_number,c,12,03
incident_date,c,8,03
type_property_loss_etc,c,1,03
property_description,c,2,03
value_of_property,c,9,03
date_recovered,c,8,03
number_of_stolen_motor_vehicles,c,2,03
number_of_recovered_motor_vehicles,c,2,03
suspected_drug_type,c,1,03
estimated_quantity,c,9,03
estimated_quantity_1000ths,c,3,03
type_measurement,c,2,03
drug_involvement_2,c,15,03
drug_involvement_3,c,15,03
window_ucr_offense_code_1,c,3,03
window_ucr_offense_code_2,c,3,03
window_ucr_offense_code_3,c,3,03
window_ucr_offense_code_4,c,3,03
window_ucr_offense_code_5,c,3,03
window_ucr_offense_code_6,c,3,03
window_ucr_offense_code_7,c,3,03
window_ucr_offense_code_8,c,3,03
window_ucr_offense_code_9,c,3,03
window_ucr_offense_code_10,c,3,03
segment_level,c,2,04
numeric_state_code,c,2,04
originating_agency_identifier_ori,c,9,04
incident_number,c,12,04
incident_date,c,8,04
victim_sequence_number,n,3,04
ucr_offense_code_1,c,3,04
ucr_offense_code_2,c,3,04
ucr_offense_code_3,c,3,04
ucr_offense_code_4,c,3,04
ucr_offense_code_5,c,3,04
ucr_offense_code_6,c,3,04
ucr_offense_code_7,c,3,04
ucr_offense_code_8,c,3,04
ucr_offense_code_9,c,3,04
ucr_offense_code_10,c,3,04
type_of_victim,c,1,04
age_of_victim,c,2,04
sex_of_victim,c,1,04
race_of_victim,c,1,04
ethnicity_of_victim,c,1,04
resident_status_of_victim,c,1,04
circumstance_1,c,2,04
circumstance_2,c,2,04
additional_justifiable_homicide_circumstances,c,1,04
injury_1,c,1,04
injury_2,c,1,04
injury_3,c,1,04
injury_4,c,1,04
injury_5,c,1,04
offender_number_to_be_related,c,2,04
relationship_of_victim_to_offender,c,2,04
relationship_2,c,4,04
relationship_3,c,4,04
relationship_4,c,4,04
relationship_5,c,4,04
relationship_6,c,4,04
relationship_7,c,4,04
relationship_8,c,4,04
relationship_9,c,4,04
relationship_10,c,4,04
type_of_activity_officer_circumstance,c,2,04
assignment_type_officer,c,1,04
ori_other_jurisdiction_officer,c,9,04
segment_level,c,2,05
numeric_state_code,c,2,05
originating_agency_identifier_ori,c,9,05
incident_number,c,12,05
incident_date,c,8,05
offender_sequence_number,n,2,05
age_of_offender,c,2,05
sex_of_offender,c,1,05
race_of_offender,c,1,05
ethnicity_of_offender,c,1,05
segment_level,c,2,06
numeric_state_code,c,2,06
originating_agency_identifier_ori,c,9,06
incident_number,c,12,06
incident_date,c,8,06
arrestee_sequence_number,n,2,06
arrest_transaction_number,c,12,06
arrest_date,c,8,06
type_of_arrest,c,1,06
multiple_arrestee_segments_indicator,c,1,06
ucr_arrest_offense_code,c,3,06
weapon_1,c,2,06
automatic_indicator_1,c,1,06
weapon_2,c,3,06
age_of_arrestee,c,2,06
sex_of_arrestee,c,1,06
race_of_arrestee,c,1,06
ethnicity_of_arrestee,c,1,06
resident_status_of_arrestee,c,1,06
disposition_of_arrestee_under_18,c,1,06
window_clearance_flag,c,1,06
window_ucr_offense_code_1,c,3,06
window_ucr_offense_code_2,c,3,06
window_ucr_offense_code_3,c,3,06
window_ucr_offense_code_4,c,3,06
window_ucr_offense_code_5,c,3,06
window_ucr_offense_code_6,c,3,06
window_ucr_offense_code_7,c,3,06
window_ucr_offense_code_8,c,3,06
window_ucr_offense_code_9,c,3,06
window_ucr_offense_code_10,c,3,06
segment_level,c,2,07
numeric_state_code,c,2,07
originating_agency_identifier_ori,c,9,07
arrest_transaction_incident_number,c,12,07
arrest_date,c,8,07
arrestee_sequence_number,n,2,07
city_submission,c,4,07
type_of_arrest,c,1,07
ucr_group_b_arrest_offense_code,c,3,07
weapon_1,c,2,07
automatic_indicator_1,c,1,07
weapon_2,c,3,07
age_of_arrestee,c,2,07
sex_of_arrestee,c,1,07
race_of_arrestee,c,1,07
ethnicity_of_arrestee,c,1,07
resident_status_of_arrestee,c,1,07
disposition_of_arrestee_under_18,c,1,07
segment_level,c,2,BH
numeric_state_code,n,2,BH
originating_agency_identifier_ori,c,9,BH
incident_number,c,12,BH
date_ori_was_added,c,8,BH
date_ori_went_nibrs,c,8,BH
city_name,c,30,BH
state_abbreviation,c,2,BH
population_group,c,2,BH
country_division,c,1,BH
country_region,c,1,BH
agency_indicator,c,1,BH
core_city,c,1,BH
covered_by_ori,c,9,BH
fbi_field_office,c,4,BH
judicial_district,c,4,BH
agency_nibrs_flag,c,1,BH
agency_inactive_date,c,8,BH
current_population_1,n,9,BH
ucr_county_code_1,c,3,BH
msa_code_1,c,3,BH
last_population_1,n,9,BH
current_population_2,n,9,BH
ucr_county_code_2,c,3,BH
msa_code_2,c,3,BH
last_population_2,n,9,BH
current_population_3,n,9,BH
ucr_county_code_3,c,3,BH
msa_code_3,c,3,BH
last_population_3,n,9,BH
current_population_4,n,9,BH
ucr_county_code_4,c,3,BH
msa_code_4,c,3,BH
last_population_4,n,9,BH
current_population_5,n,9,BH
ucr_county_code_5,c,3,BH
msa_code_5,c,3,BH
last_population_5,n,9,BH
01_06_12_indicator,c,2,BH
number_of_months_reported,c,2,BH
master_file_year,c,4,BH
january,c,3,BH
february,c,3,BH
march,c,3,BH
april,c,3,BH
may,c,3,BH
june,c,3,BH
july,c,3,BH
august,c,3,BH
september,c,3,BH
october,c,3,BH
november,c,3,BH
december,c,3,BH
fips_county_1,c,3,BH
fips_county_2,c,3,BH
fips_county_3,c,3,BH
fips_county_4,c,3,BH
fips_county_5,c,3,BH
date_state_began_ibr_for_law_enforcement_officers_killed_and_assaulted_leoka_data,c,8,BH
